Rank,Name,Nationality,Goals
1,Alan Shearer,England,260
2,Wayne Rooney,England,208
3,Andrew Cole,England,187
4,Sergio Agüero,Argentina,184
5,Frank Lampard,England,177
6,Thierry Henry,France,175
7,Harry Kane,England,166
8,Robbie Fowler,England,163
9,Jermain Defoe,England,162
10,Michael Owen,England,150
11,Les Ferdinand,England,149
12,Teddy Sheringham,England,146
13,Robin van Persie,Netherlands,144
14,Jimmy Floyd Hasselbaink,Netherlands,127
15,Robbie Keane,Ireland,126
16,Nicolas Anelka,France,125
17,Dwight Yorke,Trinidad & Tobago,123
18,Steven Gerrard,England,120
19,Jamie Vardy,England,118
20,Romelu Lukaku,Belgium,113
